,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.425989,0.425989,0.425989,0.0,0.425989,0.0,1,0,0.00
sanity.close_values_probability.score,0.179070,0.179070,0.179070,0.0,0.179070,0.0,1,0,0.00
sanity.distant_values_probability.score,0.095349,0.095349,0.095349,0.0,0.095349,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.100367,0.100367,0.100367,0.0,0.100367,0.0,1,0,0.21
stats.chi_squared_test.marginal,0.442189,0.442189,0.442189,0.0,0.442189,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.584136,0.584136,0.584136,0.0,0.584136,0.0,1,0,0.03
stats.ks_test.marginal,0.409161,0.409161,0.409161,0.0,0.409161,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.004651,0.004651,0.004651,0.0,0.004651,0.0,1,0,0.02
stats.wasserstein_dist.joint,6.369787,6.369787,6.369787,0.0,6.369787,0.0,1,0,0.14
stats.prdc.precision,0.990698,0.990698,0.990698,0.0,0.990698,0.0,1,0,0.02
stats.prdc.recall,0.088372,0.088372,0.088372,0.0,0.088372,0.0,1,0,0.02
stats.prdc.density,0.446047,0.446047,0.446047,0.0,0.446047,0.0,1,0,0.02
stats.prdc.coverage,0.081395,0.081395,0.081395,0.0,0.081395,0.0,1,0,0.02
stats.alpha_precision.delta_precision_alpha_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.24
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.24
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.24
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.24
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.24
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.24
performance.linear_model.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,8.93
performance.linear_model.syn_id,0.452207,0.452207,0.452207,0.0,0.452207,0.0,1,0,8.93
performance.linear_model.syn_ood,0.532143,0.532143,0.532143,0.0,0.532143,0.0,1,0,8.93
performance.mlp.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,7.78
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.78
