,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.276628,0.276628,0.276628,0.0,0.276628,0.0,1,0,0.00
sanity.close_values_probability.score,0.442623,0.442623,0.442623,0.0,0.442623,0.0,1,0,0.00
sanity.distant_values_probability.score,0.049180,0.049180,0.049180,0.0,0.049180,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.107362,0.107362,0.107362,0.0,0.107362,0.0,1,0,0.33
stats.chi_squared_test.marginal,0.549761,0.549761,0.549761,0.0,0.549761,0.0,1,0,0.06
stats.inv_kl_divergence.marginal,0.685108,0.685108,0.685108,0.0,0.685108,0.0,1,0,0.05
stats.ks_test.marginal,0.399590,0.399590,0.399590,0.0,0.399590,0.0,1,0,0.05
stats.max_mean_discrepancy.joint,0.032787,0.032787,0.032787,0.0,0.032787,0.0,1,0,0.01
stats.wasserstein_dist.joint,12.677516,12.677516,12.677516,0.0,12.677516,0.0,1,0,0.02
stats.prdc.precision,0.983607,0.983607,0.983607,0.0,0.983607,0.0,1,0,0.01
stats.prdc.recall,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.01
stats.prdc.density,0.675410,0.675410,0.675410,0.0,0.675410,0.0,1,0,0.01
stats.prdc.coverage,0.311475,0.311475,0.311475,0.0,0.311475,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.135519,0.135519,0.135519,0.0,0.135519,0.0,1,0,2.19
stats.alpha_precision.delta_coverage_beta_OC,0.002186,0.002186,0.002186,0.0,0.002186,0.0,1,0,2.19
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.19
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.19
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.19
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.19
performance.linear_model.gt,0.760317,0.760317,0.760317,0.0,0.760317,0.0,1,0,0.38
performance.linear_model.syn_id,0.673016,0.673016,0.673016,0.0,0.673016,0.0,1,0,0.38
performance.linear_model.syn_ood,0.694444,0.694444,0.694444,0.0,0.694444,0.0,1,0,0.38
performance.mlp.gt,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.86
performance.mlp.syn_id,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.86
performance.mlp.syn_ood,0.416667,0.416667,0.416667,0.0,0.416667,0.0,1,0,4.86
performance.xgb.gt,0.652381,0.652381,0.652381,0.0,0.652381,0.0,1,0,0.65
performance.xgb.syn_id,0.439683,0.439683,0.439683,0.0,0.439683,0.0,1,0,0.65
performance.xgb.syn_ood,0.166667,0.166667,0.166667,0.0,0.166667,0.0,1,0,0.65
performance.linear_model_augmentation.gt,0.760317,0.760317,0.760317,0.0,0.760317,0.0,1,0,0.37
performance.linear_model_augmentation.aug_ood,0.694444,0.694444,0.694444,0.0,0.694444,0.0,1,0,0.37
performance.mlp_augmentation.gt,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.84
performance.mlp_augmentation.aug_ood,0.416667,0.416667,0.416667,0.0,0.416667,0.0,1,0,4.84
performance.xgb_augmentation.gt,0.652381,0.652381,0.652381,0.0,0.652381,0.0,1,0,0.64
performance.xgb_augmentation.aug_ood,0.166667,0.166667,0.166667,0.0,0.166667,0.0,1,0,0.64
performance.feat_rank_distance.corr,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.22
performance.feat_rank_distance.pvalue,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.22
detection.detection_xgb.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.09
detection.detection_mlp.mean,0.075641,0.075641,0.075641,0.0,0.075641,0.0,1,0,1.76
detection.detection_gmm.mean,0.351282,0.351282,0.351282,0.0,0.351282,0.0,1,0,0.96
detection.detection_linear.mean,0.998611,0.998611,0.998611,0.0,0.998611,0.0,1,0,25.20
privacy.delta-presence.score,26.000000,26.000000,26.000000,0.0,26.000000,0.0,1,0,0.03
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.k-anonymization.syn,4.000000,4.000000,4.000000,0.0,4.000000,0.0,1,0,0.05
privacy.k-map.score,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,4.000000,4.000000,4.000000,0.0,4.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.098361,0.098361,0.098361,0.0,0.098361,0.0,1,0,0.07
privacy.identifiability_score.score_OC,0.016393,0.016393,0.016393,0.0,0.016393,0.0,1,0,0.07
privacy.DomiasMIA_BNAF.accuracy,0.049261,0.049261,0.049261,0.0,0.049261,0.0,1,0,532.66
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,532.66
