,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.212280,0.212280,0.212280,0.0,0.212280,0.0,1,0,0.00
sanity.close_values_probability.score,0.578125,0.578125,0.578125,0.0,0.578125,0.0,1,0,0.00
sanity.distant_values_probability.score,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.051724,0.051724,0.051724,0.0,0.051724,0.0,1,0,0.24
stats.chi_squared_test.marginal,0.203112,0.203112,0.203112,0.0,0.203112,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.441362,0.441362,0.441362,0.0,0.441362,0.0,1,0,0.03
stats.ks_test.marginal,0.492788,0.492788,0.492788,0.0,0.492788,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.01
stats.wasserstein_dist.joint,99.190969,99.190969,99.190969,0.0,99.190969,0.0,1,0,0.02
stats.prdc.precision,0.078125,0.078125,0.078125,0.0,0.078125,0.0,1,0,0.01
stats.prdc.recall,0.859375,0.859375,0.859375,0.0,0.859375,0.0,1,0,0.01
stats.prdc.density,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.01
stats.prdc.coverage,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.25
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.25
performance.linear_model.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.35
performance.linear_model.syn_id,0.702667,0.702667,0.702667,0.0,0.702667,0.0,1,0,0.35
performance.linear_model.syn_ood,0.619048,0.619048,0.619048,0.0,0.619048,0.0,1,0,0.35
performance.mlp.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,4.96
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,4.96
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,4.96
performance.xgb.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.57
performance.xgb.syn_id,0.504000,0.504000,0.504000,0.0,0.504000,0.0,1,0,0.57
performance.xgb.syn_ood,0.428571,0.428571,0.428571,0.0,0.428571,0.0,1,0,0.57
performance.linear_model_augmentation.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.37
performance.linear_model_augmentation.aug_ood,0.619048,0.619048,0.619048,0.0,0.619048,0.0,1,0,0.37
performance.mlp_augmentation.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,5.01
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.01
performance.xgb_augmentation.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.56
performance.xgb_augmentation.aug_ood,0.428571,0.428571,0.428571,0.0,0.428571,0.0,1,0,0.56
performance.feat_rank_distance.corr,0.025641,0.025641,0.025641,0.0,0.025641,0.0,1,0,0.18
performance.feat_rank_distance.pvalue,0.952362,0.952362,0.952362,0.0,0.952362,0.0,1,0,0.18
detection.detection_xgb.mean,0.984615,0.984615,0.984615,0.0,0.984615,0.0,1,0,0.10
detection.detection_mlp.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,1.78
detection.detection_gmm.mean,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,0.13
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,27.49
privacy.delta-presence.score,3.357143,3.357143,3.357143,0.0,3.357143,0.0,1,0,0.03
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.k-anonymization.syn,5.000000,5.000000,5.000000,0.0,5.000000,0.0,1,0,0.04
privacy.k-map.score,3.000000,3.000000,3.000000,0.0,3.000000,0.0,1,0,0.03
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,5.000000,5.000000,5.000000,0.0,5.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.10
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.10
privacy.DomiasMIA_BNAF.accuracy,0.046729,0.046729,0.046729,0.0,0.046729,0.0,1,0,262.27
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,262.27
privacy.DomiasMIA_prior.accuracy,0.481308,0.481308,0.481308,0.0,0.481308,0.0,1,0,0.03
privacy.DomiasMIA_prior.aucroc,0.474510,0.474510,0.474510,0.0,0.474510,0.0,1,0,0.03
