,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.nearest_syn_neighbor_distance.mean,0.172594,0.172594,0.172594,0.0,0.172594,0.0,1,0,0.00
sanity.close_values_probability.score,0.727273,0.727273,0.727273,0.0,0.727273,0.0,1,0,0.00
sanity.distant_values_probability.score,0.012987,0.012987,0.012987,0.0,0.012987,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.070472,0.070472,0.070472,0.0,0.070472,0.0,1,0,0.08
stats.chi_squared_test.marginal,0.134725,0.134725,0.134725,0.0,0.134725,0.0,1,0,0.01
stats.inv_kl_divergence.marginal,0.231383,0.231383,0.231383,0.0,0.231383,0.0,1,0,0.01
stats.ks_test.marginal,0.280664,0.280664,0.280664,0.0,0.280664,0.0,1,0,0.01
stats.max_mean_discrepancy.joint,0.013269,0.013269,0.013269,0.0,0.013269,0.0,1,0,0.01
stats.wasserstein_dist.joint,1.559023,1.559023,1.559023,0.0,1.559023,0.0,1,0,0.02
stats.prdc.precision,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.recall,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.density,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.coverage,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.340693,0.340693,0.340693,0.0,0.340693,0.0,1,0,3.15
stats.alpha_precision.delta_coverage_beta_OC,0.012987,0.012987,0.012987,0.0,0.012987,0.0,1,0,3.15
stats.alpha_precision.authenticity_OC,0.993506,0.993506,0.993506,0.0,0.993506,0.0,1,0,3.15
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.15
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.15
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,3.15
performance.linear_model.gt,0.821528,0.821528,0.821528,0.0,0.821528,0.0,1,0,0.34
performance.linear_model.syn_id,0.790625,0.790625,0.790625,0.0,0.790625,0.0,1,0,0.34
performance.linear_model.syn_ood,0.900000,0.900000,0.900000,0.0,0.900000,0.0,1,0,0.34
performance.mlp.gt,0.441406,0.441406,0.441406,0.0,0.441406,0.0,1,0,8.55
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.55
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.55
performance.xgb.gt,0.765799,0.765799,0.765799,0.0,0.765799,0.0,1,0,0.57
performance.xgb.syn_id,0.505035,0.505035,0.505035,0.0,0.505035,0.0,1,0,0.57
performance.xgb.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,0.57
performance.linear_model_augmentation.gt,0.821528,0.821528,0.821528,0.0,0.821528,0.0,1,0,0.37
performance.linear_model_augmentation.aug_ood,0.900000,0.900000,0.900000,0.0,0.900000,0.0,1,0,0.37
performance.mlp_augmentation.gt,0.441406,0.441406,0.441406,0.0,0.441406,0.0,1,0,8.73
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.73
performance.xgb_augmentation.gt,0.765799,0.765799,0.765799,0.0,0.765799,0.0,1,0,0.54
performance.xgb_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,0.54
performance.feat_rank_distance.corr,-0.228370,-0.228370,0.001000,0.0,-0.228370,0.0,1,0,0.17
performance.feat_rank_distance.pvalue,0.075970,0.075970,0.075970,0.0,0.075970,0.0,1,0,0.17
detection.detection_xgb.mean,0.996774,0.996774,0.996774,0.0,0.996774,0.0,1,0,0.13
detection.detection_mlp.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,3.38
detection.detection_gmm.mean,0.300347,0.300347,0.300347,0.0,0.300347,0.0,1,0,0.23
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,32.30
privacy.delta-presence.score,2.800000,2.800000,2.800000,0.0,2.800000,0.0,1,0,0.06
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.10
privacy.k-anonymization.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.10
privacy.k-map.score,5.000000,5.000000,5.000000,0.0,5.000000,0.0,1,0,0.06
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.12
privacy.distinct l-diversity.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.12
privacy.identifiability_score.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.03
privacy.identifiability_score.score_OC,0.019481,0.019481,0.019481,0.0,0.019481,0.0,1,0,0.03
privacy.DomiasMIA_BNAF.accuracy,0.173653,0.173653,0.173653,0.0,0.173653,0.0,1,0,54.75
privacy.DomiasMIA_BNAF.aucroc,0.523116,0.523116,0.523116,0.0,0.523116,0.0,1,0,54.75
