,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,2.120396e-01,2.120396e-01,0.212040,0.0,2.120396e-01,0.0,1,0,0.00
sanity.close_values_probability.score,5.409836e-01,5.409836e-01,0.540984,0.0,5.409836e-01,0.0,1,0,0.00
sanity.distant_values_probability.score,1.639344e-02,1.639344e-02,0.016393,0.0,1.639344e-02,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,9.415076e-02,9.415076e-02,0.094151,0.0,9.415076e-02,0.0,1,0,0.31
stats.chi_squared_test.marginal,1.785714e-02,1.785714e-02,0.017857,0.0,1.785714e-02,0.0,1,0,0.06
stats.inv_kl_divergence.marginal,2.553377e-01,2.553377e-01,0.255338,0.0,2.553377e-01,0.0,1,0,0.05
stats.ks_test.marginal,3.805621e-01,3.805621e-01,0.380562,0.0,3.805621e-01,0.0,1,0,0.05
stats.max_mean_discrepancy.joint,1.016393e+00,1.016393e+00,1.016393,0.0,1.016393e+00,0.0,1,0,0.01
stats.wasserstein_dist.joint,1.064756e+01,1.064756e+01,10.647555,0.0,1.064756e+01,0.0,1,0,0.02
stats.prdc.precision,1.000000e+00,1.000000e+00,1.000000,0.0,1.000000e+00,0.0,1,0,0.01
stats.prdc.recall,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,0.01
stats.prdc.density,4.000000e-01,4.000000e-01,0.400000,0.0,4.000000e-01,0.0,1,0,0.01
stats.prdc.coverage,3.278689e-02,3.278689e-02,0.032787,0.0,3.278689e-02,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,2.30
stats.alpha_precision.delta_coverage_beta_OC,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,2.30
stats.alpha_precision.authenticity_OC,1.000000e+00,1.000000e+00,1.000000,0.0,1.000000e+00,0.0,1,0,2.30
stats.alpha_precision.delta_precision_alpha_naive,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,2.30
stats.alpha_precision.delta_coverage_beta_naive,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,2.30
stats.alpha_precision.authenticity_naive,1.000000e+00,1.000000e+00,1.000000,0.0,1.000000e+00,0.0,1,0,2.30
performance.linear_model.gt,7.603175e-01,7.603175e-01,0.760317,0.0,7.603175e-01,0.0,1,0,0.18
performance.linear_model.syn_id,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,0.18
performance.linear_model.syn_ood,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,0.18
performance.mlp.gt,6.476190e-01,6.476190e-01,0.647619,0.0,6.476190e-01,0.0,1,0,1.76
performance.mlp.syn_id,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,1.76
performance.mlp.syn_ood,0.000000e+00,0.000000e+00,0.000000,0.0,0.000000e+00,0.0,1,0,1.76
