                                                        min       max  \
privacy.DomiasMIA_KDE.accuracy                     0.0      1      0   
privacy.DomiasMIA_KDE.aucroc                       0.0      1      0   
privacy.DomiasMIA_prior.accuracy                   0.0      1      0   
privacy.DomiasMIA_prior.aucroc                     0.0      1      0   

                                                   durations  
sanity.data_mismatch.score                              0.00  
sanity.common_rows_proportion.score                     0.00  
sanity.nearest_syn_neighbor_distance.mean               0.00  
sanity.close_values_probability.score                   0.00  
sanity.distant_values_probability.score                 0.00  
stats.jensenshannon_dist.marginal                       0.06  
stats.chi_squared_test.marginal                         0.01  
stats.inv_kl_divergence.marginal                        0.01  
stats.ks_test.marginal                                  0.01  
stats.max_mean_discrepancy.joint                        0.01  
stats.wasserstein_dist.joint                            0.02  
stats.prdc.precision                                    0.01  
stats.prdc.recall                                       0.01  
stats.prdc.density                                      0.01  
stats.prdc.coverage                                     0.01  
stats.alpha_precision.delta_precision_alpha_OC          2.21  
stats.alpha_precision.delta_coverage_beta_OC            2.21  
stats.alpha_precision.authenticity_OC                   2.21  
stats.alpha_precision.delta_precision_alpha_naive       2.21  
stats.alpha_precision.delta_coverage_beta_naive         2.21  
stats.alpha_precision.authenticity_naive                2.21  
performance.linear_model.gt                             0.35  
performance.linear_model.syn_id                         0.35  
performance.linear_model.syn_ood                        0.35  
performance.mlp.gt                                      5.47  
performance.mlp.syn_id                                  5.47  
performance.mlp.syn_ood                                 5.47  
performance.xgb.gt                                      0.49  
performance.xgb.syn_id                                  0.49  
performance.xgb.syn_ood                                 0.49  
performance.linear_model_augmentation.gt                0.35  
performance.linear_model_augmentation.aug_ood           0.35  
performance.mlp_augmentation.gt                         5.50  
performance.mlp_augmentation.aug_ood                    5.50  
performance.xgb_augmentation.gt                         0.51  
performance.xgb_augmentation.aug_ood                    0.51  
performance.feat_rank_distance.corr                     0.13  
performance.feat_rank_distance.pvalue                   0.13  
detection.detection_xgb.mean                            0.10  
detection.detection_mlp.mean                            2.16  
detection.detection_gmm.mean                            0.21  
detection.detection_linear.mean                        25.58  
privacy.delta-presence.score                            0.05  
privacy.k-anonymization.gt                              0.08  
privacy.k-anonymization.syn                             0.08  
privacy.k-map.score                                     0.04  
privacy.distinct l-diversity.gt                         0.09  
privacy.distinct l-diversity.syn                        0.09  
privacy.identifiability_score.score                     0.03  
privacy.identifiability_score.score_OC                  0.03  
privacy.DomiasMIA_BNAF.accuracy                        42.36  
privacy.DomiasMIA_BNAF.aucroc                          42.36  
privacy.DomiasMIA_KDE.accuracy                          0.01  
privacy.DomiasMIA_KDE.aucroc                            0.01  
privacy.DomiasMIA_prior.accuracy                        0.01  
privacy.DomiasMIA_prior.aucroc                          0.01  
