,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.428265,0.428265,0.428265,0.0,0.428265,0.0,1,0,0.00
sanity.close_values_probability.score,0.069767,0.069767,0.069767,0.0,0.069767,0.0,1,0,0.00
sanity.distant_values_probability.score,0.023256,0.023256,0.023256,0.0,0.023256,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.087198,0.087198,0.087198,0.0,0.087198,0.0,1,0,0.20
stats.chi_squared_test.marginal,0.908068,0.908068,0.908068,0.0,0.908068,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.910131,0.910131,0.910131,0.0,0.910131,0.0,1,0,0.03
stats.ks_test.marginal,0.568006,0.568006,0.568006,0.0,0.568006,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.004651,0.004651,0.004651,0.0,0.004651,0.0,1,0,0.02
stats.wasserstein_dist.joint,5.965005,5.965005,5.965005,0.0,5.965005,0.0,1,0,0.12
stats.prdc.precision,0.974419,0.974419,0.974419,0.0,0.974419,0.0,1,0,0.02
stats.prdc.recall,0.976744,0.976744,0.976744,0.0,0.976744,0.0,1,0,0.02
stats.prdc.density,0.960000,0.960000,0.960000,0.0,0.960000,0.0,1,0,0.02
stats.prdc.coverage,0.909302,0.909302,0.909302,0.0,0.909302,0.0,1,0,0.02
stats.alpha_precision.delta_precision_alpha_OC,0.724031,0.724031,0.724031,0.0,0.724031,0.0,1,0,2.27
stats.alpha_precision.delta_coverage_beta_OC,0.382016,0.382016,0.382016,0.0,0.382016,0.0,1,0,2.27
stats.alpha_precision.authenticity_OC,0.613953,0.613953,0.613953,0.0,0.613953,0.0,1,0,2.27
stats.alpha_precision.delta_precision_alpha_naive,0.000310,0.000310,0.001000,0.0,0.000310,0.0,1,0,2.27
stats.alpha_precision.delta_coverage_beta_naive,0.003876,0.003876,0.003876,0.0,0.003876,0.0,1,0,2.27
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.27
performance.linear_model.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,8.74
performance.linear_model.syn_id,0.578981,0.578981,0.578981,0.0,0.578981,0.0,1,0,8.74
performance.linear_model.syn_ood,0.547619,0.547619,0.547619,0.0,0.547619,0.0,1,0,8.74
performance.mlp.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,7.95
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.95
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.95
performance.xgb.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,1.12
performance.xgb.syn_id,0.523386,0.523386,0.523386,0.0,0.523386,0.0,1,0,1.12
performance.xgb.syn_ood,0.583929,0.583929,0.583929,0.0,0.583929,0.0,1,0,1.12
performance.linear_model_augmentation.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,8.67
performance.linear_model_augmentation.aug_ood,0.547619,0.547619,0.547619,0.0,0.547619,0.0,1,0,8.67
performance.mlp_augmentation.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,7.72
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.72
performance.xgb_augmentation.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,1.10
performance.xgb_augmentation.aug_ood,0.583929,0.583929,0.583929,0.0,0.583929,0.0,1,0,1.10
performance.feat_rank_distance.corr,0.046785,0.046785,0.046785,0.0,0.046785,0.0,1,0,0.34
performance.feat_rank_distance.pvalue,0.523601,0.523601,0.523601,0.0,0.523601,0.0,1,0,0.34
detection.detection_xgb.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.17
detection.detection_mlp.mean,0.966063,0.966063,0.966063,0.0,0.966063,0.0,1,0,5.20
detection.detection_gmm.mean,0.466712,0.466712,0.466712,0.0,0.466712,0.0,1,0,5.02
detection.detection_linear.mean,0.999973,0.999973,0.999973,0.0,0.999973,0.0,1,0,26.41
privacy.delta-presence.score,5.000000,5.000000,5.000000,0.0,5.000000,0.0,1,0,0.17
privacy.k-anonymization.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.16
privacy.k-anonymization.syn,13.000000,13.000000,13.000000,0.0,13.000000,0.0,1,0,0.16
privacy.k-map.score,5.000000,5.000000,5.000000,0.0,5.000000,0.0,1,0,0.09
privacy.distinct l-diversity.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.59
privacy.distinct l-diversity.syn,13.000000,13.000000,13.000000,0.0,13.000000,0.0,1,0,0.59
privacy.identifiability_score.score,0.441860,0.441860,0.441860,0.0,0.441860,0.0,1,0,0.11
privacy.identifiability_score.score_OC,0.388372,0.388372,0.388372,0.0,0.388372,0.0,1,0,0.11
privacy.DomiasMIA_BNAF.accuracy,0.007220,0.007220,0.007220,0.0,0.007220,0.0,1,0,255.49
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,255.49
privacy.DomiasMIA_prior.accuracy,0.499639,0.499639,0.499639,0.0,0.499639,0.0,1,0,0.17
privacy.DomiasMIA_prior.aucroc,0.529309,0.529309,0.529309,0.0,0.529309,0.0,1,0,0.17
