,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.nearest_syn_neighbor_distance.mean,0.511867,0.511867,0.511867,0.0,0.511867,0.0,1,0,0.00
sanity.close_values_probability.score,0.110390,0.110390,0.110390,0.0,0.110390,0.0,1,0,0.00
sanity.distant_values_probability.score,0.097403,0.097403,0.097403,0.0,0.097403,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.043786,0.043786,0.043786,0.0,0.043786,0.0,1,0,0.06
stats.chi_squared_test.marginal,0.346067,0.346067,0.346067,0.0,0.346067,0.0,1,0,0.01
stats.inv_kl_divergence.marginal,0.394867,0.394867,0.394867,0.0,0.394867,0.0,1,0,0.01
stats.ks_test.marginal,0.492063,0.492063,0.492063,0.0,0.492063,0.0,1,0,0.01
stats.max_mean_discrepancy.joint,0.012987,0.012987,0.012987,0.0,0.012987,0.0,1,0,0.01
stats.wasserstein_dist.joint,0.639408,0.639408,0.639408,0.0,0.639408,0.0,1,0,0.02
stats.prdc.precision,0.805195,0.805195,0.805195,0.0,0.805195,0.0,1,0,0.01
stats.prdc.recall,0.266234,0.266234,0.266234,0.0,0.266234,0.0,1,0,0.01
stats.prdc.density,0.444156,0.444156,0.444156,0.0,0.444156,0.0,1,0,0.01
stats.prdc.coverage,0.084416,0.084416,0.084416,0.0,0.084416,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.082684,0.082684,0.082684,0.0,0.082684,0.0,1,0,2.27
stats.alpha_precision.delta_coverage_beta_OC,0.030303,0.030303,0.030303,0.0,0.030303,0.0,1,0,2.27
stats.alpha_precision.authenticity_OC,0.987013,0.987013,0.987013,0.0,0.987013,0.0,1,0,2.27
stats.alpha_precision.delta_precision_alpha_naive,0.048485,0.048485,0.048485,0.0,0.048485,0.0,1,0,2.27
stats.alpha_precision.delta_coverage_beta_naive,0.010823,0.010823,0.010823,0.0,0.010823,0.0,1,0,2.27
stats.alpha_precision.authenticity_naive,0.941558,0.941558,0.941558,0.0,0.941558,0.0,1,0,2.27
performance.linear_model.gt,0.821528,0.821528,0.821528,0.0,0.821528,0.0,1,0,0.38
performance.linear_model.syn_id,0.416840,0.416840,0.416840,0.0,0.416840,0.0,1,0,0.38
performance.linear_model.syn_ood,0.386364,0.386364,0.386364,0.0,0.386364,0.0,1,0,0.38
performance.mlp.gt,0.441406,0.441406,0.441406,0.0,0.441406,0.0,1,0,5.82
