,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.298489,0.298489,0.298489,0.0,0.298489,0.0,1,0,0.00
sanity.close_values_probability.score,0.343750,0.343750,0.343750,0.0,0.343750,0.0,1,0,0.00
sanity.distant_values_probability.score,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.073876,0.073876,0.073876,0.0,0.073876,0.0,1,0,0.25
stats.chi_squared_test.marginal,0.136785,0.136785,0.136785,0.0,0.136785,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.232221,0.232221,0.232221,0.0,0.232221,0.0,1,0,0.03
stats.ks_test.marginal,0.248397,0.248397,0.248397,0.0,0.248397,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.01
stats.wasserstein_dist.joint,19.621469,19.621469,19.621469,0.0,19.621469,0.0,1,0,0.03
stats.prdc.precision,0.531250,0.531250,0.531250,0.0,0.531250,0.0,1,0,0.01
stats.prdc.recall,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.density,0.106250,0.106250,0.106250,0.0,0.106250,0.0,1,0,0.01
stats.prdc.coverage,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.39
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.39
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.39
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.39
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.39
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.39
performance.linear_model.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.40
performance.linear_model.syn_id,0.494667,0.494667,0.494667,0.0,0.494667,0.0,1,0,0.40
performance.linear_model.syn_ood,0.523810,0.523810,0.523810,0.0,0.523810,0.0,1,0,0.40
performance.mlp.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,5.30
performance.mlp.syn_id,0.516667,0.516667,0.516667,0.0,0.516667,0.0,1,0,5.30
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.30
performance.xgb.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.58
performance.xgb.syn_id,0.522667,0.522667,0.522667,0.0,0.522667,0.0,1,0,0.58
performance.xgb.syn_ood,0.357143,0.357143,0.357143,0.0,0.357143,0.0,1,0,0.58
performance.linear_model_augmentation.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.36
performance.linear_model_augmentation.aug_ood,0.523810,0.523810,0.523810,0.0,0.523810,0.0,1,0,0.36
performance.mlp_augmentation.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,5.32
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.32
performance.xgb_augmentation.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.58
performance.xgb_augmentation.aug_ood,0.357143,0.357143,0.357143,0.0,0.357143,0.0,1,0,0.58
performance.feat_rank_distance.corr,-0.025641,-0.025641,0.001000,0.0,-0.025641,0.0,1,0,0.18
performance.feat_rank_distance.pvalue,0.952362,0.952362,0.952362,0.0,0.952362,0.0,1,0,0.18
detection.detection_xgb.mean,0.984615,0.984615,0.984615,0.0,0.984615,0.0,1,0,0.10
detection.detection_mlp.mean,0.900000,0.900000,0.900000,0.0,0.900000,0.0,1,0,1.83
detection.detection_gmm.mean,0.391667,0.391667,0.391667,0.0,0.391667,0.0,1,0,0.12
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,27.63
privacy.delta-presence.score,8.500000,8.500000,8.500000,0.0,8.500000,0.0,1,0,0.03
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.k-anonymization.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.04
privacy.k-map.score,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.03
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.10
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.10
privacy.DomiasMIA_BNAF.accuracy,0.046729,0.046729,0.046729,0.0,0.046729,0.0,1,0,260.35
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,260.35
