,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.449295,0.449295,0.449295,0.0,0.449295,0.0,1,0,0.01
sanity.close_values_probability.score,0.201754,0.201754,0.201754,0.0,0.201754,0.0,1,0,0.01
sanity.distant_values_probability.score,0.078947,0.078947,0.078947,0.0,0.078947,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.061324,0.061324,0.061324,0.0,0.061324,0.0,1,0,0.21
stats.chi_squared_test.marginal,0.385941,0.385941,0.385941,0.0,0.385941,0.0,1,0,0.03
stats.inv_kl_divergence.marginal,0.392870,0.392870,0.392870,0.0,0.392870,0.0,1,0,0.02
stats.ks_test.marginal,0.310979,0.310979,0.310979,0.0,0.310979,0.0,1,0,0.03
stats.max_mean_discrepancy.joint,0.017544,0.017544,0.017544,0.0,0.017544,0.0,1,0,0.01
stats.wasserstein_dist.joint,4.179576,4.179576,4.179576,0.0,4.179576,0.0,1,0,0.32
stats.prdc.precision,0.289474,0.289474,0.289474,0.0,0.289474,0.0,1,0,0.01
stats.prdc.recall,0.596491,0.596491,0.596491,0.0,0.596491,0.0,1,0,0.01
stats.prdc.density,0.149123,0.149123,0.149123,0.0,0.149123,0.0,1,0,0.01
stats.prdc.coverage,0.078947,0.078947,0.078947,0.0,0.078947,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.016374,0.016374,0.016374,0.0,0.016374,0.0,1,0,2.17
stats.alpha_precision.delta_coverage_beta_OC,0.016374,0.016374,0.016374,0.0,0.016374,0.0,1,0,2.17
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.17
stats.alpha_precision.delta_precision_alpha_naive,0.004094,0.004094,0.004094,0.0,0.004094,0.0,1,0,2.17
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.17
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.17
performance.linear_model.gt,0.980736,0.980736,0.980736,0.0,0.980736,0.0,1,0,0.35
performance.linear_model.syn_id,0.681782,0.681782,0.681782,0.0,0.681782,0.0,1,0,0.35
performance.linear_model.syn_ood,0.450000,0.450000,0.450000,0.0,0.450000,0.0,1,0,0.35
performance.mlp.gt,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.24
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.24
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.24
performance.xgb.gt,0.994625,0.994625,0.994625,0.0,0.994625,0.0,1,0,0.59
performance.xgb.syn_id,0.477453,0.477453,0.477453,0.0,0.477453,0.0,1,0,0.59
performance.xgb.syn_ood,0.375000,0.375000,0.375000,0.0,0.375000,0.0,1,0,0.59
performance.linear_model_augmentation.gt,0.980736,0.980736,0.980736,0.0,0.980736,0.0,1,0,0.36
performance.linear_model_augmentation.aug_ood,0.450000,0.450000,0.450000,0.0,0.450000,0.0,1,0,0.36
performance.mlp_augmentation.gt,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.27
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.27
performance.xgb_augmentation.gt,0.994625,0.994625,0.994625,0.0,0.994625,0.0,1,0,0.58
performance.xgb_augmentation.aug_ood,0.375000,0.375000,0.375000,0.0,0.375000,0.0,1,0,0.58
performance.feat_rank_distance.corr,0.261387,0.261387,0.261387,0.0,0.261387,0.0,1,0,0.17
performance.feat_rank_distance.pvalue,0.081212,0.081212,0.081212,0.0,0.081212,0.0,1,0,0.17
detection.detection_xgb.mean,0.995652,0.995652,0.995652,0.0,0.995652,0.0,1,0,0.11
detection.detection_mlp.mean,0.790952,0.790952,0.790952,0.0,0.790952,0.0,1,0,1.98
detection.detection_gmm.mean,0.209881,0.209881,0.209881,0.0,0.209881,0.0,1,0,0.13
detection.detection_linear.mean,0.998866,0.998866,0.998866,0.0,0.998866,0.0,1,0,26.05
privacy.delta-presence.score,26.000000,26.000000,26.000000,0.0,26.000000,0.0,1,0,0.04
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.k-anonymization.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.06
privacy.k-map.score,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.035088,0.035088,0.035088,0.0,0.035088,0.0,1,0,0.05
privacy.identifiability_score.score_OC,0.008772,0.008772,0.008772,0.0,0.008772,0.0,1,0,0.05
privacy.DomiasMIA_BNAF.accuracy,0.026738,0.026738,0.026738,0.0,0.026738,0.0,1,0,166.21
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,166.21
