,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.251099,0.251099,0.251099,0.0,0.251099,0.0,1,0,0.00
sanity.close_values_probability.score,0.546875,0.546875,0.546875,0.0,0.546875,0.0,1,0,0.00
sanity.distant_values_probability.score,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.067972,0.067972,0.067972,0.0,0.067972,0.0,1,0,0.23
stats.chi_squared_test.marginal,0.105756,0.105756,0.105756,0.0,0.105756,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.225369,0.225369,0.225369,0.0,0.225369,0.0,1,0,0.03
stats.ks_test.marginal,0.307292,0.307292,0.307292,0.0,0.307292,0.0,1,0,0.03
stats.max_mean_discrepancy.joint,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.01
stats.wasserstein_dist.joint,5.078259,5.078259,5.078259,0.0,5.078259,0.0,1,0,0.02
stats.prdc.precision,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.01
stats.prdc.recall,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.density,0.003125,0.003125,0.003125,0.0,0.003125,0.0,1,0,0.01
stats.prdc.coverage,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.20
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.20
performance.linear_model.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.37
performance.linear_model.syn_id,0.552000,0.552000,0.552000,0.0,0.552000,0.0,1,0,0.37
performance.linear_model.syn_ood,0.571429,0.571429,0.571429,0.0,0.571429,0.0,1,0,0.37
performance.mlp.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,4.95
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,4.95
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,4.95
performance.xgb.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.58
performance.xgb.syn_id,0.260000,0.260000,0.260000,0.0,0.260000,0.0,1,0,0.58
performance.xgb.syn_ood,0.428571,0.428571,0.428571,0.0,0.428571,0.0,1,0,0.58
performance.linear_model_augmentation.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.36
performance.linear_model_augmentation.aug_ood,0.571429,0.571429,0.571429,0.0,0.571429,0.0,1,0,0.36
performance.mlp_augmentation.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,5.00
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.00
performance.xgb_augmentation.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.59
performance.xgb_augmentation.aug_ood,0.428571,0.428571,0.428571,0.0,0.428571,0.0,1,0,0.59
performance.feat_rank_distance.corr,0.256410,0.256410,0.256410,0.0,0.256410,0.0,1,0,0.18
performance.feat_rank_distance.pvalue,0.251858,0.251858,0.251858,0.0,0.251858,0.0,1,0,0.18
detection.detection_xgb.mean,0.984615,0.984615,0.984615,0.0,0.984615,0.0,1,0,0.10
detection.detection_mlp.mean,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,1.81
detection.detection_gmm.mean,0.284615,0.284615,0.284615,0.0,0.284615,0.0,1,0,0.10
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,25.55
privacy.delta-presence.score,0.734375,0.734375,0.734375,0.0,0.734375,0.0,1,0,0.03
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.k-anonymization.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.k-map.score,64.000000,64.000000,64.000000,0.0,64.000000,0.0,1,0,0.03
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.distinct l-diversity.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.identifiability_score.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.05
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.05
privacy.DomiasMIA_BNAF.accuracy,0.046729,0.046729,0.046729,0.0,0.046729,0.0,1,0,255.20
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,255.20
