,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.449041,0.449041,0.449041,0.0,0.449041,0.0,1,0,0.00
sanity.close_values_probability.score,0.048837,0.048837,0.048837,0.0,0.048837,0.0,1,0,0.00
sanity.distant_values_probability.score,0.020930,0.020930,0.020930,0.0,0.020930,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.075661,0.075661,0.075661,0.0,0.075661,0.0,1,0,0.20
stats.chi_squared_test.marginal,0.942262,0.942262,0.942262,0.0,0.942262,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.939702,0.939702,0.939702,0.0,0.939702,0.0,1,0,0.03
stats.ks_test.marginal,0.617829,0.617829,0.617829,0.0,0.617829,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.004651,0.004651,0.004651,0.0,0.004651,0.0,1,0,0.02
stats.wasserstein_dist.joint,5.137014,5.137014,5.137014,0.0,5.137014,0.0,1,0,0.13
stats.prdc.precision,0.923256,0.923256,0.923256,0.0,0.923256,0.0,1,0,0.02
stats.prdc.recall,0.974419,0.974419,0.974419,0.0,0.974419,0.0,1,0,0.02
stats.prdc.density,0.579070,0.579070,0.579070,0.0,0.579070,0.0,1,0,0.02
stats.prdc.coverage,0.758140,0.758140,0.758140,0.0,0.758140,0.0,1,0,0.02
stats.alpha_precision.delta_precision_alpha_OC,0.539845,0.539845,0.539845,0.0,0.539845,0.0,1,0,2.52
stats.alpha_precision.delta_coverage_beta_OC,0.218450,0.218450,0.218450,0.0,0.218450,0.0,1,0,2.52
stats.alpha_precision.authenticity_OC,0.702326,0.702326,0.702326,0.0,0.702326,0.0,1,0,2.52
stats.alpha_precision.delta_precision_alpha_naive,0.003101,0.003101,0.003101,0.0,0.003101,0.0,1,0,2.52
stats.alpha_precision.delta_coverage_beta_naive,0.015039,0.015039,0.015039,0.0,0.015039,0.0,1,0,2.52
stats.alpha_precision.authenticity_naive,0.997674,0.997674,0.997674,0.0,0.997674,0.0,1,0,2.52
performance.linear_model.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,9.03
performance.linear_model.syn_id,0.423680,0.423680,0.423680,0.0,0.423680,0.0,1,0,9.03
performance.linear_model.syn_ood,0.470238,0.470238,0.470238,0.0,0.470238,0.0,1,0,9.03
performance.mlp.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,8.02
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.02
