,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.306253,0.306253,0.306253,0.0,0.306253,0.0,1,0,0.00
sanity.close_values_probability.score,0.219298,0.219298,0.219298,0.0,0.219298,0.0,1,0,0.00
sanity.distant_values_probability.score,0.008772,0.008772,0.008772,0.0,0.008772,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.079087,0.079087,0.079087,0.0,0.079087,0.0,1,0,0.25
stats.chi_squared_test.marginal,0.025998,0.025998,0.025998,0.0,0.025998,0.0,1,0,0.03
stats.inv_kl_divergence.marginal,0.084544,0.084544,0.084544,0.0,0.084544,0.0,1,0,0.03
stats.ks_test.marginal,0.128183,0.128183,0.128183,0.0,0.128183,0.0,1,0,0.03
stats.max_mean_discrepancy.joint,0.025696,0.025696,0.025696,0.0,0.025696,0.0,1,0,0.02
stats.wasserstein_dist.joint,10.194978,10.194978,10.194978,0.0,10.194978,0.0,1,0,0.11
stats.prdc.precision,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.recall,0.973684,0.973684,0.973684,0.0,0.973684,0.0,1,0,0.01
stats.prdc.density,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.coverage,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.03
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.03
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,3.03
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.03
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.03
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,3.03
performance.linear_model.gt,0.980736,0.980736,0.980736,0.0,0.980736,0.0,1,0,0.43
performance.linear_model.syn_id,0.578788,0.578788,0.578788,0.0,0.578788,0.0,1,0,0.43
performance.linear_model.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,0.43
performance.mlp.gt,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.08
performance.mlp.syn_id,0.525758,0.525758,0.525758,0.0,0.525758,0.0,1,0,8.08
performance.mlp.syn_ood,0.533333,0.533333,0.533333,0.0,0.533333,0.0,1,0,8.08
performance.xgb.gt,0.994625,0.994625,0.994625,0.0,0.994625,0.0,1,0,0.84
performance.xgb.syn_id,0.261273,0.261273,0.261273,0.0,0.261273,0.0,1,0,0.84
performance.xgb.syn_ood,0.150000,0.150000,0.150000,0.0,0.150000,0.0,1,0,0.84
performance.linear_model_augmentation.gt,0.980736,0.980736,0.980736,0.0,0.980736,0.0,1,0,0.45
performance.linear_model_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,0.45
performance.mlp_augmentation.gt,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.49
performance.mlp_augmentation.aug_ood,0.533333,0.533333,0.533333,0.0,0.533333,0.0,1,0,8.49
performance.xgb_augmentation.gt,0.994625,0.994625,0.994625,0.0,0.994625,0.0,1,0,0.70
performance.xgb_augmentation.aug_ood,0.150000,0.150000,0.150000,0.0,0.150000,0.0,1,0,0.70
performance.feat_rank_distance.corr,-0.027889,-0.027889,0.001000,0.0,-0.027889,0.0,1,0,0.20
performance.feat_rank_distance.pvalue,0.853093,0.853093,0.853093,0.0,0.853093,0.0,1,0,0.20
detection.detection_xgb.mean,0.995652,0.995652,0.995652,0.0,0.995652,0.0,1,0,0.13
detection.detection_mlp.mean,0.328458,0.328458,0.328458,0.0,0.328458,0.0,1,0,3.17
detection.detection_gmm.mean,0.415020,0.415020,0.415020,0.0,0.415020,0.0,1,0,0.13
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,32.37
privacy.delta-presence.score,84.999999,84.999999,84.999999,0.0,84.999999,0.0,1,0,0.05
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.07
privacy.k-anonymization.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.07
privacy.k-map.score,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.10
privacy.distinct l-diversity.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.10
privacy.identifiability_score.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.06
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.06
privacy.DomiasMIA_BNAF.accuracy,0.026738,0.026738,0.026738,0.0,0.026738,0.0,1,0,181.06
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,181.06
