,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.nearest_syn_neighbor_distance.mean,0.536769,0.536769,0.536769,0.0,0.536769,0.0,1,0,0.00
sanity.close_values_probability.score,0.071429,0.071429,0.071429,0.0,0.071429,0.0,1,0,0.00
sanity.distant_values_probability.score,0.103896,0.103896,0.103896,0.0,0.103896,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.080123,0.080123,0.080123,0.0,0.080123,0.0,1,0,0.06
stats.chi_squared_test.marginal,0.109152,0.109152,0.109152,0.0,0.109152,0.0,1,0,0.01
stats.inv_kl_divergence.marginal,0.203793,0.203793,0.203793,0.0,0.203793,0.0,1,0,0.01
stats.ks_test.marginal,0.240981,0.240981,0.240981,0.0,0.240981,0.0,1,0,0.01
stats.max_mean_discrepancy.joint,0.013740,0.013740,0.013740,0.0,0.013740,0.0,1,0,0.01
stats.wasserstein_dist.joint,1.055720,1.055720,1.055720,0.0,1.055720,0.0,1,0,0.02
stats.prdc.precision,0.058442,0.058442,0.058442,0.0,0.058442,0.0,1,0,0.01
stats.prdc.recall,0.259740,0.259740,0.259740,0.0,0.259740,0.0,1,0,0.01
stats.prdc.density,0.029870,0.029870,0.029870,0.0,0.029870,0.0,1,0,0.01
stats.prdc.coverage,0.019481,0.019481,0.019481,0.0,0.019481,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.176190,0.176190,0.176190,0.0,0.176190,0.0,1,0,2.28
stats.alpha_precision.delta_coverage_beta_OC,0.025108,0.025108,0.025108,0.0,0.025108,0.0,1,0,2.28
stats.alpha_precision.authenticity_OC,0.993506,0.993506,0.993506,0.0,0.993506,0.0,1,0,2.28
stats.alpha_precision.delta_precision_alpha_naive,0.008658,0.008658,0.008658,0.0,0.008658,0.0,1,0,2.28
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.28
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.28
performance.linear_model.gt,0.821528,0.821528,0.821528,0.0,0.821528,0.0,1,0,0.36
performance.linear_model.syn_id,0.430729,0.430729,0.430729,0.0,0.430729,0.0,1,0,0.36
performance.linear_model.syn_ood,0.527273,0.527273,0.527273,0.0,0.527273,0.0,1,0,0.36
performance.mlp.gt,0.441406,0.441406,0.441406,0.0,0.441406,0.0,1,0,5.58
