,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.744210,0.744210,0.744210,0.0,0.744210,0.0,1,0,0.00
sanity.close_values_probability.score,0.016393,0.016393,0.016393,0.0,0.016393,0.0,1,0,0.00
sanity.distant_values_probability.score,0.426230,0.426230,0.426230,0.0,0.426230,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.112930,0.112930,0.112930,0.0,0.112930,0.0,1,0,0.33
stats.chi_squared_test.marginal,0.302314,0.302314,0.302314,0.0,0.302314,0.0,1,0,0.06
stats.inv_kl_divergence.marginal,0.527700,0.527700,0.527700,0.0,0.527700,0.0,1,0,0.05
stats.ks_test.marginal,0.332845,0.332845,0.332845,0.0,0.332845,0.0,1,0,0.05
stats.max_mean_discrepancy.joint,0.032811,0.032811,0.032811,0.0,0.032811,0.0,1,0,0.01
stats.wasserstein_dist.joint,13.721169,13.721169,13.721169,0.0,13.721169,0.0,1,0,0.02
stats.prdc.precision,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.01
stats.prdc.recall,0.016393,0.016393,0.016393,0.0,0.016393,0.0,1,0,0.01
stats.prdc.density,0.200000,0.200000,0.200000,0.0,0.200000,0.0,1,0,0.01
stats.prdc.coverage,0.016393,0.016393,0.016393,0.0,0.016393,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.001093,0.001093,0.001093,0.0,0.001093,0.0,1,0,2.25
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.25
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.25
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.25
performance.linear_model.gt,0.760317,0.760317,0.760317,0.0,0.760317,0.0,1,0,0.42
performance.linear_model.syn_id,0.600000,0.600000,0.600000,0.0,0.600000,0.0,1,0,0.42
performance.linear_model.syn_ood,0.805556,0.805556,0.805556,0.0,0.805556,0.0,1,0,0.42
performance.mlp.gt,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.98
performance.mlp.syn_id,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.98
performance.mlp.syn_ood,0.416667,0.416667,0.416667,0.0,0.416667,0.0,1,0,4.98
performance.xgb.gt,0.652381,0.652381,0.652381,0.0,0.652381,0.0,1,0,0.66
performance.xgb.syn_id,0.482540,0.482540,0.482540,0.0,0.482540,0.0,1,0,0.66
performance.xgb.syn_ood,0.166667,0.166667,0.166667,0.0,0.166667,0.0,1,0,0.66
performance.linear_model_augmentation.gt,0.760317,0.760317,0.760317,0.0,0.760317,0.0,1,0,0.38
performance.linear_model_augmentation.aug_ood,0.805556,0.805556,0.805556,0.0,0.805556,0.0,1,0,0.38
performance.mlp_augmentation.gt,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.97
performance.mlp_augmentation.aug_ood,0.416667,0.416667,0.416667,0.0,0.416667,0.0,1,0,4.97
performance.xgb_augmentation.gt,0.652381,0.652381,0.652381,0.0,0.652381,0.0,1,0,0.66
performance.xgb_augmentation.aug_ood,0.166667,0.166667,0.166667,0.0,0.166667,0.0,1,0,0.66
performance.feat_rank_distance.corr,0.282051,0.282051,0.282051,0.0,0.282051,0.0,1,0,0.23
performance.feat_rank_distance.pvalue,0.204367,0.204367,0.204367,0.0,0.204367,0.0,1,0,0.23
detection.detection_xgb.mean,0.975641,0.975641,0.975641,0.0,0.975641,0.0,1,0,0.10
detection.detection_mlp.mean,0.033333,0.033333,0.033333,0.0,0.033333,0.0,1,0,1.80
detection.detection_gmm.mean,0.405769,0.405769,0.405769,0.0,0.405769,0.0,1,0,0.96
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,25.33
privacy.delta-presence.score,0.245902,0.245902,0.245902,0.0,0.245902,0.0,1,0,0.04
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.k-anonymization.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.k-map.score,61.000000,61.000000,61.000000,0.0,61.000000,0.0,1,0,0.04
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.016393,0.016393,0.016393,0.0,0.016393,0.0,1,0,0.07
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.07
privacy.DomiasMIA_BNAF.accuracy,0.049261,0.049261,0.049261,0.0,0.049261,0.0,1,0,533.49
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,533.49
