,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.733285,0.733285,0.733285,0.0,0.733285,0.0,1,0,0.00
sanity.close_values_probability.score,0.035088,0.035088,0.035088,0.0,0.035088,0.0,1,0,0.00
sanity.distant_values_probability.score,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.065430,0.065430,0.065430,0.0,0.065430,0.0,1,0,0.21
stats.chi_squared_test.marginal,0.001051,0.001051,0.001051,0.0,0.001051,0.0,1,0,0.03
stats.inv_kl_divergence.marginal,0.105967,0.105967,0.105967,0.0,0.105967,0.0,1,0,0.02
stats.ks_test.marginal,0.250990,0.250990,0.250990,0.0,0.250990,0.0,1,0,0.03
stats.max_mean_discrepancy.joint,0.017550,0.017550,0.017550,0.0,0.017550,0.0,1,0,0.01
stats.wasserstein_dist.joint,2.903316,2.903316,2.903316,0.0,2.903316,0.0,1,0,0.11
stats.prdc.precision,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.01
stats.prdc.recall,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.density,0.385965,0.385965,0.385965,0.0,0.385965,0.0,1,0,0.01
stats.prdc.coverage,0.017544,0.017544,0.017544,0.0,0.017544,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.14
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.14
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.14
stats.alpha_precision.delta_precision_alpha_naive,0.068421,0.068421,0.068421,0.0,0.068421,0.0,1,0,2.14
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.14
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.14
performance.linear_model.gt,0.980736,0.980736,0.980736,0.0,0.980736,0.0,1,0,0.38
performance.linear_model.syn_id,0.853391,0.853391,0.853391,0.0,0.853391,0.0,1,0,0.38
performance.linear_model.syn_ood,0.741667,0.741667,0.741667,0.0,0.741667,0.0,1,0,0.38
performance.mlp.gt,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.25
performance.mlp.syn_id,0.482576,0.482576,0.482576,0.0,0.482576,0.0,1,0,5.25
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.25
performance.xgb.gt,0.994625,0.994625,0.994625,0.0,0.994625,0.0,1,0,0.45
performance.xgb.syn_id,0.066017,0.066017,0.066017,0.0,0.066017,0.0,1,0,0.45
performance.xgb.syn_ood,0.108333,0.108333,0.108333,0.0,0.108333,0.0,1,0,0.45
performance.linear_model_augmentation.gt,0.980736,0.980736,0.980736,0.0,0.980736,0.0,1,0,0.39
performance.linear_model_augmentation.aug_ood,0.741667,0.741667,0.741667,0.0,0.741667,0.0,1,0,0.39
performance.mlp_augmentation.gt,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.23
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,5.23
performance.xgb_augmentation.gt,0.994625,0.994625,0.994625,0.0,0.994625,0.0,1,0,0.45
performance.xgb_augmentation.aug_ood,0.108333,0.108333,0.108333,0.0,0.108333,0.0,1,0,0.45
performance.feat_rank_distance.corr,-0.059761,-0.059761,0.001000,0.0,-0.059761,0.0,1,0,0.16
performance.feat_rank_distance.pvalue,0.691514,0.691514,0.691514,0.0,0.691514,0.0,1,0,0.16
detection.detection_xgb.mean,0.986957,0.986957,0.986957,0.0,0.986957,0.0,1,0,0.11
detection.detection_mlp.mean,0.328458,0.328458,0.328458,0.0,0.328458,0.0,1,0,1.95
detection.detection_gmm.mean,0.252767,0.252767,0.252767,0.0,0.252767,0.0,1,0,0.09
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,25.04
privacy.delta-presence.score,0.254386,0.254386,0.254386,0.0,0.254386,0.0,1,0,0.04
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.k-anonymization.syn,3.000000,3.000000,3.000000,0.0,3.000000,0.0,1,0,0.06
privacy.k-map.score,114.000000,114.000000,114.000000,0.0,114.000000,0.0,1,0,0.04
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,3.000000,3.000000,3.000000,0.0,3.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.008772,0.008772,0.008772,0.0,0.008772,0.0,1,0,0.05
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.05
privacy.DomiasMIA_BNAF.accuracy,0.026738,0.026738,0.026738,0.0,0.026738,0.0,1,0,166.25
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,166.25
