,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.519983,0.519983,0.519983,0.0,0.519983,0.0,1,0,0.00
sanity.close_values_probability.score,0.058140,0.058140,0.058140,0.0,0.058140,0.0,1,0,0.01
sanity.distant_values_probability.score,0.072093,0.072093,0.072093,0.0,0.072093,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.112003,0.112003,0.112003,0.0,0.112003,0.0,1,0,0.20
stats.chi_squared_test.marginal,0.369806,0.369806,0.369806,0.0,0.369806,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.509278,0.509278,0.509278,0.0,0.509278,0.0,1,0,0.03
stats.ks_test.marginal,0.237844,0.237844,0.237844,0.0,0.237844,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.005087,0.005087,0.005087,0.0,0.005087,0.0,1,0,0.02
stats.wasserstein_dist.joint,6.974827,6.974827,6.974827,0.0,6.974827,0.0,1,0,0.12
stats.prdc.precision,0.513953,0.513953,0.513953,0.0,0.513953,0.0,1,0,0.02
stats.prdc.recall,0.006977,0.006977,0.006977,0.0,0.006977,0.0,1,0,0.02
stats.prdc.density,0.140000,0.140000,0.140000,0.0,0.140000,0.0,1,0,0.02
stats.prdc.coverage,0.013953,0.013953,0.013953,0.0,0.013953,0.0,1,0,0.02
stats.alpha_precision.delta_precision_alpha_OC,0.734146,0.734146,0.734146,0.0,0.734146,0.0,1,0,2.21
stats.alpha_precision.delta_coverage_beta_OC,0.016279,0.016279,0.016279,0.0,0.016279,0.0,1,0,2.21
stats.alpha_precision.authenticity_OC,0.972093,0.972093,0.972093,0.0,0.972093,0.0,1,0,2.21
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.21
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.21
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.21
performance.linear_model.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,9.63
performance.linear_model.syn_id,0.567568,0.567568,0.567568,0.0,0.567568,0.0,1,0,9.63
performance.linear_model.syn_ood,0.497024,0.497024,0.497024,0.0,0.497024,0.0,1,0,9.63
performance.mlp.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,7.76
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.76
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.76
performance.xgb.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,0.80
performance.xgb.syn_id,0.481971,0.481971,0.481971,0.0,0.481971,0.0,1,0,0.80
performance.xgb.syn_ood,0.431845,0.431845,0.431845,0.0,0.431845,0.0,1,0,0.80
performance.linear_model_augmentation.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,8.61
performance.linear_model_augmentation.aug_ood,0.497024,0.497024,0.497024,0.0,0.497024,0.0,1,0,8.61
performance.mlp_augmentation.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,7.47
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.47
performance.xgb_augmentation.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,0.84
performance.xgb_augmentation.aug_ood,0.431845,0.431845,0.431845,0.0,0.431845,0.0,1,0,0.84
performance.feat_rank_distance.corr,-0.135431,-0.135431,0.001000,0.0,-0.135431,0.0,1,0,0.27
performance.feat_rank_distance.pvalue,0.064852,0.064852,0.064852,0.0,0.064852,0.0,1,0,0.27
detection.detection_xgb.mean,0.998837,0.998837,0.998837,0.0,0.998837,0.0,1,0,0.12
detection.detection_mlp.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,4.54
detection.detection_gmm.mean,0.002623,0.002623,0.002623,0.0,0.002623,0.0,1,0,3.18
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,25.44
privacy.delta-presence.score,23.000000,23.000000,23.000000,0.0,23.000000,0.0,1,0,0.32
privacy.k-anonymization.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.41
privacy.k-anonymization.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.41
privacy.k-map.score,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.27
privacy.distinct l-diversity.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.63
privacy.distinct l-diversity.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.63
privacy.identifiability_score.score,0.002326,0.002326,0.002326,0.0,0.002326,0.0,1,0,0.07
privacy.identifiability_score.score_OC,0.013953,0.013953,0.013953,0.0,0.013953,0.0,1,0,0.07
privacy.DomiasMIA_BNAF.accuracy,0.007220,0.007220,0.007220,0.0,0.007220,0.0,1,0,249.57
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,249.57
